approach,scenario,run,failure_time,orphan_total,successful_realloc,failed_realloc,tasks_quorum_ok,tasks_quorum_fail,connectivity_index
rl3,cenario2_tempo_aleatorio/180-600s_30percent,22,602.157,38,36,2,11,0,0.9474
rl3,cenario2_tempo_aleatorio/180-600s_30percent,23,350.312,40,39,1,9,11,0.975
rl3,cenario2_tempo_aleatorio/180-600s_30percent,24,480.997,58,56,2,11,0,0.9655
rl3,cenario2_tempo_aleatorio/180-600s_30percent,25,411.364,62,60,2,11,0,0.9677
rl3,cenario2_tempo_aleatorio/180-600s_30percent,26,252.88,29,28,1,11,1,0.9655
rl3,cenario2_tempo_aleatorio/180-600s_30percent,27,577.975,44,42,2,11,0,0.9545
rl3,cenario2_tempo_aleatorio/180-600s_30percent,28,497.853,38,38,0,10,6,1.0
rl3,cenario2_tempo_aleatorio/180-600s_30percent,29,543.601,62,59,3,11,0,0.9516
rl3,cenario2_tempo_aleatorio/180-600s_30percent,30,394.657,37,36,1,10,5,0.973
rl3,cenario2_tempo_aleatorio/180-600s_30percent,31,434.495,49,47,2,8,18,0.9592
rl3,cenario2_tempo_aleatorio/180-600s_30percent,32,441.255,42,40,2,10,5,0.9524
rl3,cenario2_tempo_aleatorio/180-600s_30percent,33,577.161,20,18,2,9,11,0.9
rl3,cenario2_tempo_aleatorio/180-600s_30percent,34,528.24,42,41,1,9,11,0.9762
rl3,cenario2_tempo_aleatorio/180-600s_30percent,35,456.885,65,63,2,11,1,0.9692
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,1,316.347,37,35,2,11,0,0.9459
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,2,224.79,33,32,1,11,0,0.9697
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,3,463.71,2,2,0,11,2,1.0
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,4,576.891,31,31,0,11,1,1.0
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,5,577.158,32,31,1,11,0,0.9688
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,6,443.75,10,10,0,11,1,1.0
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,7,328.491,14,13,1,11,1,0.9286
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,8,439.584,45,43,2,11,0,0.9556
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,9,318.937,33,32,1,10,5,0.9697
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,10,423.589,42,40,2,6,30,0.9524
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,11,454.741,3,3,0,10,5,1.0
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,12,396.798,25,23,2,9,11,0.92
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,13,368.64,6,5,1,11,1,0.8333
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,14,463.148,58,57,1,7,24,0.9828
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,15,209.411,12,12,0,10,5,1.0
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,16,384.832,20,20,0,11,0,1.0
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,17,315.469,23,21,2,11,1,0.913
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,18,515.315,39,38,1,8,18,0.9744
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,19,536.376,25,24,1,9,11,0.96
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,20,362.772,32,29,3,11,1,0.9062
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,21,301.955,29,28,1,11,0,0.9655
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,22,385.313,31,30,1,10,5,0.9677
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,23,609.294,68,64,4,9,11,0.9412
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,24,251.247,23,23,0,10,5,1.0
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,25,546.389,31,28,3,8,18,0.9032
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,26,235.825,45,43,2,11,0,0.9556
rl3,cenario3_tudo_aleatorio/180-600s_10-30percent,27,314.098,25,23,2,11,0,0.92
