approach,scenario,run,num_leader_failures,orphan_total,rl_successful_realloc,rl_failed_realloc,realloc_rate,rl_new_clusters,rl_realloc_existing
rl1,cenario2_tempo_aleatorio/180-600s_20percent,22,2,44,43,1,0.9773,0,43
rl1,cenario2_tempo_aleatorio/180-600s_20percent,23,1,14,14,0,1.0,0,14
rl1,cenario2_tempo_aleatorio/180-600s_20percent,24,1,20,20,0,1.0,0,20
rl1,cenario2_tempo_aleatorio/180-600s_20percent,25,2,29,29,0,1.0,0,29
rl1,cenario2_tempo_aleatorio/180-600s_20percent,26,1,8,7,1,0.875,0,7
rl1,cenario2_tempo_aleatorio/180-600s_20percent,27,1,7,6,1,0.8571,0,6
rl1,cenario2_tempo_aleatorio/180-600s_20percent,28,1,26,24,2,0.9231,0,24
rl1,cenario2_tempo_aleatorio/180-600s_20percent,29,2,27,24,3,0.8889,0,24
rl1,cenario2_tempo_aleatorio/180-600s_20percent,30,2,59,54,5,0.9153,0,54
rl1,cenario2_tempo_aleatorio/180-600s_20percent,31,2,51,47,4,0.9216,0,47
rl1,cenario2_tempo_aleatorio/180-600s_20percent,32,2,42,39,3,0.9286,0,39
rl1,cenario2_tempo_aleatorio/180-600s_20percent,33,2,43,42,1,0.9767,0,42
rl1,cenario2_tempo_aleatorio/180-600s_20percent,34,1,32,30,2,0.9375,0,30
rl1,cenario2_tempo_aleatorio/180-600s_20percent,35,1,13,13,0,1.0,0,13
rl1,cenario2_tempo_aleatorio/180-600s_30percent,1,2,49,48,1,0.9796,0,48
rl1,cenario2_tempo_aleatorio/180-600s_30percent,2,2,35,34,1,0.9714,0,34
rl1,cenario2_tempo_aleatorio/180-600s_30percent,3,3,33,32,1,0.9697,0,32
rl1,cenario2_tempo_aleatorio/180-600s_30percent,4,2,57,52,5,0.9123,0,52
rl1,cenario2_tempo_aleatorio/180-600s_30percent,5,3,61,59,2,0.9672,0,59
rl1,cenario2_tempo_aleatorio/180-600s_30percent,6,2,47,43,4,0.9149,0,43
rl1,cenario2_tempo_aleatorio/180-600s_30percent,7,2,50,49,1,0.98,0,49
rl1,cenario2_tempo_aleatorio/180-600s_30percent,8,2,33,32,1,0.9697,0,32
rl1,cenario2_tempo_aleatorio/180-600s_30percent,9,1,22,20,2,0.9091,0,20
rl1,cenario2_tempo_aleatorio/180-600s_30percent,10,2,31,30,1,0.9677,0,30
rl1,cenario2_tempo_aleatorio/180-600s_30percent,11,2,43,41,2,0.9535,0,41
rl1,cenario2_tempo_aleatorio/180-600s_30percent,12,3,50,50,0,1.0,0,50
rl1,cenario2_tempo_aleatorio/180-600s_30percent,13,1,12,10,2,0.8333,0,10
rl1,cenario2_tempo_aleatorio/180-600s_30percent,14,2,55,54,1,0.9818,0,54
rl1,cenario2_tempo_aleatorio/180-600s_30percent,15,1,26,25,1,0.9615,0,25
rl1,cenario2_tempo_aleatorio/180-600s_30percent,16,3,50,46,4,0.92,0,46
rl1,cenario2_tempo_aleatorio/180-600s_30percent,17,1,25,24,1,0.96,0,24
rl1,cenario2_tempo_aleatorio/180-600s_30percent,18,2,43,41,2,0.9535,0,41
rl1,cenario2_tempo_aleatorio/180-600s_30percent,19,2,44,42,2,0.9545,0,42
rl1,cenario2_tempo_aleatorio/180-600s_30percent,20,3,40,37,3,0.925,0,37
rl1,cenario2_tempo_aleatorio/180-600s_30percent,21,1,29,27,2,0.931,0,27
rl1,cenario2_tempo_aleatorio/180-600s_30percent,22,3,62,58,4,0.9355,0,58
rl1,cenario2_tempo_aleatorio/180-600s_30percent,23,2,67,62,5,0.9254,0,62
rl1,cenario2_tempo_aleatorio/180-600s_30percent,24,3,65,60,5,0.9231,0,60
rl1,cenario2_tempo_aleatorio/180-600s_30percent,25,3,72,65,7,0.9028,0,65
rl1,cenario2_tempo_aleatorio/180-600s_30percent,26,2,46,44,2,0.9565,0,44
rl1,cenario2_tempo_aleatorio/180-600s_30percent,27,3,56,53,3,0.9464,0,53
rl1,cenario2_tempo_aleatorio/180-600s_30percent,28,2,31,30,1,0.9677,0,30
rl1,cenario2_tempo_aleatorio/180-600s_30percent,29,1,19,15,4,0.7895,0,15
rl1,cenario2_tempo_aleatorio/180-600s_30percent,30,2,32,32,0,1.0,0,32
rl1,cenario2_tempo_aleatorio/180-600s_30percent,31,2,60,58,2,0.9667,0,58
rl1,cenario2_tempo_aleatorio/180-600s_30percent,32,2,32,28,4,0.875,0,28
rl1,cenario2_tempo_aleatorio/180-600s_30percent,33,1,18,17,1,0.9444,0,17
rl1,cenario2_tempo_aleatorio/180-600s_30percent,34,2,18,16,2,0.8889,0,16
rl1,cenario2_tempo_aleatorio/180-600s_30percent,35,3,71,66,5,0.9296,0,66
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,1,1,13,13,0,1.0,0,13
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,2,2,38,35,3,0.9211,0,35
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,3,1,27,27,0,1.0,0,27
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,4,1,24,23,1,0.9583,0,23
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,5,1,17,16,1,0.9412,0,16
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,6,1,22,21,1,0.9545,0,21
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,7,2,38,36,2,0.9474,0,36
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,8,1,8,8,0,1.0,0,8
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,9,1,16,14,2,0.875,0,14
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,10,2,43,41,2,0.9535,0,41
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,11,2,45,44,1,0.9778,0,44
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,12,1,30,27,3,0.9,0,27
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,13,1,23,22,1,0.9565,0,22
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,14,1,31,29,2,0.9355,0,29
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,15,2,9,9,0,1.0,0,9
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,16,2,56,53,3,0.9464,0,53
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,17,2,21,21,0,1.0,0,21
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,18,2,32,29,3,0.9062,0,29
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,19,2,29,28,1,0.9655,0,28
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,20,2,55,55,0,1.0,0,55
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,21,1,17,17,0,1.0,0,17
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,22,2,67,65,2,0.9701,0,65
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,23,1,25,24,1,0.96,0,24
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,24,2,36,34,2,0.9444,0,34
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,25,1,18,17,1,0.9444,0,17
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,26,2,39,37,2,0.9487,0,37
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,27,1,11,11,0,1.0,0,11
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,28,2,34,33,1,0.9706,0,33
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,29,2,51,46,5,0.902,0,46
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,30,2,35,34,1,0.9714,0,34
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,31,1,28,27,1,0.9643,0,27
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,32,2,43,43,0,1.0,0,43
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,33,2,36,36,0,1.0,0,36
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,34,1,8,8,0,1.0,0,8
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,35,2,39,37,2,0.9487,0,37
rl2,cenario1_tempo_fixo/310s_10percent,1,1,13,11,2,0.8462,1,0
rl2,cenario1_tempo_fixo/310s_10percent,2,1,5,5,0,1.0,1,0
rl2,cenario1_tempo_fixo/310s_10percent,3,1,8,8,0,1.0,1,0
rl2,cenario1_tempo_fixo/310s_10percent,4,1,12,12,0,1.0,1,0
rl2,cenario1_tempo_fixo/310s_10percent,5,1,14,13,1,0.9286,1,0
rl2,cenario1_tempo_fixo/310s_10percent,6,1,4,3,1,0.75,1,0
rl2,cenario1_tempo_fixo/310s_10percent,7,1,24,23,1,0.9583,1,0
rl2,cenario1_tempo_fixo/310s_10percent,8,1,11,11,0,1.0,1,0
rl2,cenario1_tempo_fixo/310s_10percent,9,1,8,8,0,1.0,1,0
rl2,cenario1_tempo_fixo/310s_10percent,10,1,10,10,0,1.0,1,0
rl2,cenario1_tempo_fixo/310s_10percent,11,1,8,8,0,1.0,1,0
rl2,cenario1_tempo_fixo/310s_10percent,12,1,34,31,3,0.9118,1,0
rl2,cenario1_tempo_fixo/310s_10percent,13,1,8,6,2,0.75,1,0
rl2,cenario1_tempo_fixo/310s_10percent,14,1,19,19,0,1.0,1,0
rl2,cenario1_tempo_fixo/310s_10percent,15,1,21,20,1,0.9524,1,0
rl2,cenario1_tempo_fixo/310s_10percent,16,1,15,14,1,0.9333,1,0
rl2,cenario1_tempo_fixo/310s_10percent,17,1,5,5,0,1.0,1,0
rl2,cenario1_tempo_fixo/310s_10percent,18,1,10,9,1,0.9,1,0
rl2,cenario1_tempo_fixo/310s_10percent,19,1,15,14,1,0.9333,1,0
rl2,cenario1_tempo_fixo/310s_10percent,20,1,32,29,3,0.9062,1,0
rl2,cenario1_tempo_fixo/310s_10percent,21,1,21,21,0,1.0,1,0
rl2,cenario1_tempo_fixo/310s_10percent,22,1,21,20,1,0.9524,1,0
rl2,cenario1_tempo_fixo/310s_10percent,23,1,30,29,1,0.9667,1,0
rl2,cenario1_tempo_fixo/310s_10percent,24,1,26,25,1,0.9615,1,0
rl2,cenario1_tempo_fixo/310s_10percent,25,1,14,13,1,0.9286,1,0
rl2,cenario1_tempo_fixo/310s_10percent,26,1,25,25,0,1.0,1,0
rl2,cenario1_tempo_fixo/310s_10percent,27,1,30,28,2,0.9333,1,0
rl2,cenario1_tempo_fixo/310s_10percent,28,1,35,34,1,0.9714,1,0
rl2,cenario1_tempo_fixo/310s_10percent,29,1,16,13,3,0.8125,1,0
rl2,cenario1_tempo_fixo/310s_10percent,30,1,10,10,0,1.0,1,0
rl2,cenario1_tempo_fixo/310s_10percent,31,1,30,26,4,0.8667,1,0
rl2,cenario1_tempo_fixo/310s_10percent,32,1,6,6,0,1.0,1,0
rl2,cenario1_tempo_fixo/310s_10percent,33,1,25,25,0,1.0,1,0
rl2,cenario1_tempo_fixo/310s_10percent,34,1,8,8,0,1.0,1,0
rl2,cenario1_tempo_fixo/310s_10percent,35,1,14,14,0,1.0,1,0
rl2,cenario1_tempo_fixo/310s_20percent,1,1,31,29,2,0.9355,1,0
rl2,cenario1_tempo_fixo/310s_20percent,2,1,23,21,2,0.913,1,0
rl2,cenario1_tempo_fixo/310s_20percent,3,1,18,17,1,0.9444,1,0
rl2,cenario1_tempo_fixo/310s_20percent,4,1,22,21,1,0.9545,1,0
rl2,cenario1_tempo_fixo/310s_20percent,5,2,26,22,4,0.8462,2,0
rl2,cenario1_tempo_fixo/310s_20percent,6,1,25,24,1,0.96,1,0
rl2,cenario1_tempo_fixo/310s_20percent,7,1,22,22,0,1.0,1,0
rl2,cenario1_tempo_fixo/310s_20percent,8,1,32,30,2,0.9375,1,0
rl2,cenario1_tempo_fixo/310s_20percent,9,1,23,22,1,0.9565,1,0
rl2,cenario1_tempo_fixo/310s_20percent,10,1,27,25,2,0.9259,1,0
rl2,cenario1_tempo_fixo/310s_20percent,11,2,60,58,2,0.9667,2,0
rl2,cenario1_tempo_fixo/310s_20percent,12,1,22,20,2,0.9091,1,0
rl2,cenario1_tempo_fixo/310s_20percent,13,2,49,48,1,0.9796,2,0
rl2,cenario1_tempo_fixo/310s_20percent,14,1,33,31,2,0.9394,1,0
rl2,cenario1_tempo_fixo/310s_20percent,15,1,23,20,3,0.8696,1,0
rl2,cenario1_tempo_fixo/310s_20percent,16,1,20,20,0,1.0,1,0
rl2,cenario1_tempo_fixo/310s_20percent,17,2,28,26,2,0.9286,1,0
