approach,scenario,run,tasks_dispatched,tasks_accepted,total_acceptances,tasks_quorum_ok,tasks_quorum_fail,task_success_rate,avg_accept_latency_s,median_accept_latency_s
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,16,12,12,48,11,1,0.9167,0.0344,0.03
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,17,21,12,56,9,11,0.4286,0.0321,0.034
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,18,11,11,49,11,0,1.0,0.0369,0.039
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,19,11,11,50,11,0,1.0,0.0336,0.029
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,20,16,12,35,10,5,0.625,0.028,0.027
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,21,16,12,49,10,5,0.625,0.011,0.01
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,22,16,12,53,10,5,0.625,0.0301,0.0235
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,23,12,12,41,11,1,0.9167,0.0076,0.006
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,24,16,12,40,10,5,0.625,0.0375,0.031
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,25,16,12,46,10,6,0.625,0.0254,0.017
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,26,21,12,55,9,11,0.4286,0.0396,0.02
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,27,11,11,36,11,0,1.0,0.0477,0.056
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,28,21,12,55,9,11,0.4286,0.0208,0.009
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,29,11,11,36,11,0,1.0,0.0306,0.019
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,30,11,11,46,11,0,1.0,0.0157,0.017
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,31,11,11,25,11,0,1.0,0.0153,0.013
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,32,16,12,41,10,5,0.625,0.0291,0.025
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,33,12,12,67,11,1,0.9167,0.0282,0.023
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,34,12,12,45,11,1,0.9167,0.0187,0.0155
rl1,cenario3_tudo_aleatorio/180-600s_10-30percent,35,16,12,51,10,5,0.625,0.0162,0.0135
rl2,cenario1_tempo_fixo/310s_10percent,1,13,12,57,11,2,0.8462,0.0178,0.016
rl2,cenario1_tempo_fixo/310s_10percent,2,11,11,70,11,0,1.0,0.0108,0.01
rl2,cenario1_tempo_fixo/310s_10percent,3,12,12,51,11,1,0.9167,0.0162,0.0165
rl2,cenario1_tempo_fixo/310s_10percent,4,12,12,52,11,1,0.9167,0.0177,0.0165
rl2,cenario1_tempo_fixo/310s_10percent,5,21,12,64,9,11,0.4286,0.0224,0.009
rl2,cenario1_tempo_fixo/310s_10percent,6,16,12,45,10,5,0.625,0.0277,0.021
rl2,cenario1_tempo_fixo/310s_10percent,7,11,11,45,11,0,1.0,0.0366,0.037
rl2,cenario1_tempo_fixo/310s_10percent,8,12,12,42,11,1,0.9167,0.0238,0.0175
rl2,cenario1_tempo_fixo/310s_10percent,9,16,12,47,10,5,0.625,0.02,0.007
rl2,cenario1_tempo_fixo/310s_10percent,10,16,12,49,10,5,0.625,0.0148,0.017
rl2,cenario1_tempo_fixo/310s_10percent,11,12,12,56,11,1,0.9167,0.0117,0.012
rl2,cenario1_tempo_fixo/310s_10percent,12,11,11,67,11,0,1.0,0.0202,0.02
rl2,cenario1_tempo_fixo/310s_10percent,13,11,11,43,11,0,1.0,0.024,0.015
rl2,cenario1_tempo_fixo/310s_10percent,14,12,12,47,11,1,0.9167,0.0252,0.0255
rl2,cenario1_tempo_fixo/310s_10percent,15,21,12,62,9,11,0.4286,0.0249,0.02
rl2,cenario1_tempo_fixo/310s_10percent,16,27,12,55,8,18,0.2963,0.011,0.0095
