approach,scenario,run,state,state_name,action,action_name,qvalue
rl1,cenario1_tempo_fixo/310s_20percent,1,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,-0.5
rl1,cenario1_tempo_fixo/310s_20percent,1,1,SIMILARITY_HIGH,1,ALLOCATE,18.2093
rl1,cenario1_tempo_fixo/310s_20percent,2,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,-0.276192
rl1,cenario1_tempo_fixo/310s_20percent,2,0,SIMILARITY_MEDIUM,1,ALLOCATE,3.9404
rl1,cenario1_tempo_fixo/310s_20percent,2,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,-0.5
rl1,cenario1_tempo_fixo/310s_20percent,2,1,SIMILARITY_HIGH,1,ALLOCATE,31.0551
rl1,cenario1_tempo_fixo/310s_20percent,3,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,-0.276192
rl1,cenario1_tempo_fixo/310s_20percent,3,0,SIMILARITY_MEDIUM,1,ALLOCATE,3.9404
rl1,cenario1_tempo_fixo/310s_20percent,3,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,2.60495
rl1,cenario1_tempo_fixo/310s_20percent,3,1,SIMILARITY_HIGH,1,ALLOCATE,40.1044
rl1,cenario1_tempo_fixo/310s_20percent,4,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,-0.276192
rl1,cenario1_tempo_fixo/310s_20percent,4,0,SIMILARITY_MEDIUM,1,ALLOCATE,8.64828
rl1,cenario1_tempo_fixo/310s_20percent,4,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,6.60918
rl1,cenario1_tempo_fixo/310s_20percent,4,1,SIMILARITY_HIGH,1,ALLOCATE,53.8778
rl1,cenario1_tempo_fixo/310s_20percent,5,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,-0.276192
rl1,cenario1_tempo_fixo/310s_20percent,5,0,SIMILARITY_MEDIUM,1,ALLOCATE,8.64828
rl1,cenario1_tempo_fixo/310s_20percent,5,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,10.9492
rl1,cenario1_tempo_fixo/310s_20percent,5,1,SIMILARITY_HIGH,1,ALLOCATE,62.6536
rl1,cenario1_tempo_fixo/310s_20percent,6,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,-0.276192
rl1,cenario1_tempo_fixo/310s_20percent,6,0,SIMILARITY_MEDIUM,1,ALLOCATE,8.64828
rl1,cenario1_tempo_fixo/310s_20percent,6,1,SIMILARITY_HIGH,0,DO_NOT_ALLOCATE,15.375
rl1,cenario1_tempo_fixo/310s_20percent,6,1,SIMILARITY_HIGH,1,ALLOCATE,70.3614
rl1,cenario1_tempo_fixo/310s_20percent,7,0,SIMILARITY_MEDIUM,0,DO_NOT_ALLOCATE,0.193383
rl1,cenario1_tempo_fixo/310s_20percent,7,0,SIMILARITY_MEDIUM,1,ALLOCATE,13.9942
